Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Notes,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_1,Lab tests,,Alanine aminotransferase (ALT),,Numeric,,,AAALT,,,,,
NHIC_HEP_2,Lab tests,,Aspartate aminotrasferase (AST),,Numeric,,,AAAST,,,,,
NHIC_HEP_3,Lab tests,,Alpha-fetoprotein,,Numeric,,,AFP,,,,,
NHIC_HEP_4,Lab tests,,Albmin,,Numeric,,,ALBUMIN,,,,,
NHIC_HEP_5,Lab tests,,Alkaline phosphatase,,Numeric,,,ALKPH,,,,,
NHIC_HEP_6,Lab tests,,Anti-mitochondrial antibodies,,Pos/Neg,,,AMITOANTB,,,,,
NHIC_HEP_7,Lab tests,,Anti-HBe,,Pos/Neg,,,ANTI-HBe,,,,,
NHIC_HEP_8,Lab tests,,Anti-HCV,,Pos/Neg/Ind,,,ANTIHCV,,,,,
NHIC_HEP_9,Lab tests,,Anti-Hepatitis B core,,Pos/Neg,,,ANTIHEPBC,,,,,
NHIC_HEP_10,Lab tests,,Anti-HIV,,Pos/Neg,,,ANTIHIV,,,,,
NHIC_HEP_11,Lab tests,,Anti-nuclear antibodies,,Pos/Neg,,,ANUCLRAB,,,,,
NHIC_HEP_12,Lab tests,,Anti-parietal cell antibodies,,Pos/Neg,,,APCELANTB,,,,,
NHIC_HEP_13,Lab tests,,Anti-smooth muscle antibodies,,Pos/Neg,,,ASMAB,,,,,
NHIC_HEP_14,Lab tests,,Anti-thyroid peroxidase antibodies,,Pos/Neg,,,ATHYRAB,,,,,
NHIC_HEP_15,Lab tests,,Bilirubin (total),,Numeric,,,BILIRUBIN,,,,,
NHIC_HEP_16,Lab tests,,CD4 cell count,,Numeric,,,CD4,,,,,
NHIC_HEP_17,Lab tests,,Cholesterol,,Numeric,,,CHOLEST,,,,,
NHIC_HEP_18,Lab tests,,C reactive protein,,Numeric,,,CREACTPRT,,,,,
NHIC_HEP_19,Lab tests,,Creatinine clearance,,Numeric,,,CREATCLR,,,,,
NHIC_HEP_20,Lab tests,,eGFR,,Numeric,,,EGFR,,,,,
NHIC_HEP_21,Lab tests,,Fasting Glucose,,Numeric,,,FASTGLUC,,,,,
NHIC_HEP_22,Lab tests,,Fasting Insulin,,Numeric,,,FASTINSUL,,,,,
NHIC_HEP_23,Lab tests,,Ferritin,,Numeric,,,FERRITIN,,,,,
NHIC_HEP_24,Lab tests,,Gamma-glutamyl transferase (GGT),,Numeric,,,GGT,,,,,
NHIC_HEP_25,Lab tests,,Haemaglobin A1c,,Numeric,,,HAEMA1C,,,,,
NHIC_HEP_26,Lab tests,,Haemoglobin,,Numeric,,,HAEMOGLB,,,,,
NHIC_HEP_27,Lab tests,,Hepatitis B surface antigen (quant),,Numeric,,,HBSAGQUAN,,,,,
NHIC_HEP_28,Lab tests,,Hepatitis B surface antigen (qual),,Pos/neg,,,HBSAGQUAL,,,,,
NHIC_HEP_29,Lab tests,,Hepatitis B e antigen,,Pos/Neg,,,HBeANTIG,,,,,
NHIC_HEP_30,Lab tests,,HBV DNA,,Numeric,,,HBVDNA,,,,,
NHIC_HEP_31,Lab tests,,HCV Genotype,,Text,,,HCVGEN,,,,,
NHIC_HEP_32,Lab tests,,HCV PCR (qualitative),,Pos/Neg/Ind,,,HCVPCRQUAL,,,,,
NHIC_HEP_33,Lab tests,,HCV PCR (quantitative),,Numeric,,,HCVPCRQUAN,,,,,
NHIC_HEP_34,Lab tests,,HDL Cholesterol (Fasting),,Numeric,,,HDLF,,,,,
NHIC_HEP_35,Lab tests,,HDL Cholesterol (Non-fasting),,Numeric,,,HDLNF,,,,,
NHIC_HEP_36,Lab tests,,HIV viral load (quant),,Numeric,,,HIVPCRQUAN,,,,,
NHIC_HEP_37,Lab tests,,HIV viral load (qual),,Pos/Neg,,,HIVPCRQUAL,,,,,
NHIC_HEP_38,Lab tests,,Hepatitis B surface antigen,,Pos/Neg,,,HVBSANT,,,,,
NHIC_HEP_39,Lab tests,,Immunoglobulin A (IgA),,Numeric,,,IgA,,,,,
NHIC_HEP_40,Lab tests,,Immunoglobulin G (IgG),,Numeric,,,IgG,,,,,
NHIC_HEP_41,Lab tests,,Immunoglobulin M (IgM),,Numeric,,,IgM,,,,,
NHIC_HEP_42,Lab tests,,INR,,Numeric,,,INR,,,,,
NHIC_HEP_43,Lab tests,,LDL Cholesterol,,Numeric,,,LDL,,,,,
NHIC_HEP_44,Lab tests,,Mean cell haemoglobin  (MCH),,Numeric,,,MCH,,,,,
NHIC_HEP_45,Lab tests,,Mean Cell Volume (MCV),,Numeric,,,MCV,,,,,
NHIC_HEP_46,Lab tests,,Non-HDL Cholesterol (Fasting),,Numeric,,,NONHDLCHF,,,,,
NHIC_HEP_47,Lab tests,,Non-HDL Cholesterol (Non-fasting),,Numeric,,,NONHDLCHNF,,,,,
NHIC_HEP_48,Lab tests,,Plasma Gluscose (non-fasting),,Numeric,,,PLASGLUC,,,,,
NHIC_HEP_49,Lab tests,,Platelet count,,Numeric,,,PLATELET,,,,,
NHIC_HEP_50,Lab tests,,Rheumatoid factor,,Pos/Neg,,,RHEUMFACT,,,,,
NHIC_HEP_51,Lab tests,,Serum Creatinine,,Numeric,,,SERCREAT,,,,,
NHIC_HEP_52,Lab tests,,Serum Urea,,Numeric,,,SERUREA,,,,,
NHIC_HEP_53,Lab tests,,Total Cholesterol (Fasting),,Numeric,,,TOTCHOLF,,,,,
NHIC_HEP_54,Lab tests,,Total Cholesterol (Non-fasting),,Numeric,,,TOTCHOLNF,,,,,
NHIC_HEP_55,Lab tests,,Total: HDL Chol Ratio (Fasting),,Numeric,,,TOTCHOLRF,,,,,
NHIC_HEP_56,Lab tests,,Total: HDL Chol Ratio (Non-fasting),,Numeric,,,TOTCHOLRNF,,,,,
NHIC_HEP_57,Lab tests,,Total Protein,,Numeric,,,TOTPROT,,,,,
NHIC_HEP_58,Lab tests,,Triglycerides (Fasting),,Numeric,,,TRIGLYCF,,,,,
NHIC_HEP_59,Lab tests,,Triglycerides (Non-fasting),,Numeric,,,TRIGLYCNF,,,,,
NHIC_HEP_60,Lab tests,,Vitamin D,,Numeric,,,VITD,,,,,
NHIC_HEP_61,Lab tests,,White cell count,,Numeric,,,WCC,,,,,
NHIC_HEP_62,Lab tests,,HDV IgM,,pos/neg,,,HDV IgM,,,,,
NHIC_HEP_63,Lab tests,,HDV quant,,numeric,,,HDV quant,,,,,
NHIC_HEP_64,Lab tests,,HDV genotype,,numeric,,,HDV genotype,,,,,
NHIC_HEP_65,Lab tests,,HEV IgM,,,,,HEV IgM,,,,,
NHIC_HEP_66,Lab tests,,HEV IgG,,,,,HEV IgG,,,,,
NHIC_HEP_67,Lab tests,,HEV PCR,,,,,HEV PCR,,,,,
NHIC_HEP_68,Lab tests,,HCV specific,,,,,HCV specific,,,,,
NHIC_HEP_69,Lab tests,,HBV specific,,,,,HBV specific,,,,,
NHIC_HEP_70,Lab tests,,AI,,,,,AI,,,,,
NHIC_HEP_71,Lab tests,,HEV,,,,,HEV,,,,,
NHIC_HEP_72,HCV UK links,,HCV UK Study Number,System generated as CentreId,Nchar(8),,,StudyNumber,,,,,
NHIC_HEP_73,HCV UK links,,HCV UK Centre Code,The Site or Centre Id (see appendix A for list of centres and Ids).  Forms the first part of the patient's StudyNumber.,Nchar(3),,,CentreCode,,,,,
NHIC_HEP_74,HCV UK links,,HCV UK Consent Date,Date patient signed study consent and entered into cohort,Datetime,,,ConsentDate,,,,,
NHIC_HEP_75,HCV UK links,,HCV UK Consent Withdrawn Date,Date consent withdrawn,Datetime,,,ConsentWithdrawnDate,,,,,
NHIC_HEP_76,HCV UK links,,HCV UK Recruitment Approach Code,,"Select from
 New Clinic Referral (see note 1)
 Clinic Re-attender
 Clinic Discharge - Spontaneous Resolver
 Clinic Discharge - Treated Resolver
 Invited Spontaneous resolver
 Community Clinic re-attender 
 Community clinic new referral",,,RecruitmentApproachCode,,,,,
NHIC_HEP_77,HCV UK links,,HCV UK First Attendance Date,"1st attendance in any HCV clinic. Must be recorded for all types of referral approach.  For Invited Spontaneous Resolvers, this is the consent date.",Datetime,,,FirstAttendanceDate,,,,,
NHIC_HEP_78,HCV UK links,,HCV UK Notes,General notes,Varchar,,,Notes,,,,,
