Data item No.,Section,Subsection,Data Item Name,Data Item Description,Value domain,Data Dictionary Element,Notes,"[Optional]
Local identifier","A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
NHIC_ICU_1,Physiology, cardiac,Heart rate (ECG),Heart rate (ECG) measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_2,Physiology, cardiac,Heart rate (ECG) - time and date of measurement.,Time and date of Heart rate (ECG) measurement.,,,,,,,,,
NHIC_ICU_3,Physiology, cardiac,Mean Arterial blood pressure,Mean Arterial blood pressure measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_4,Physiology, cardiac,Mean Arterial blood pressure - time and date of measurement.,Time and date of Mean Arterial blood pressure measurement.,,,,,,,,,
NHIC_ICU_5,Physiology, cardiac,Systolic Arterial blood pressure,Systolic Arterial blood pressure measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_6,Physiology, cardiac,Systolic Arterial blood pressure - time and date of measurement.,Time and date of Systolic Arterial blood pressure measurement.,,,,,,,,,
NHIC_ICU_7,Physiology, cardiac,Diastolic arterial blood pressure,Diastolic arterial blood pressure measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_8,Physiology, cardiac,Diastolic arterial blood pressure - time and date of measurement.,Time and date of Diastolic arterial blood pressure measurement.,,,,,,,,,
NHIC_ICU_9,Physiology, cardiac,Central venous pressure,Central venous pressure measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_10,Physiology, cardiac,Central venous pressure - time and date of measurement.,Time and date of Central venous pressure measurement.,,,,,,,,,
NHIC_ICU_11,Physiology, cardiac,Cardiac output,Cardiac output measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_12,Physiology, cardiac,Cardiac output - time and date of measurement.,Time and date of Cardiac output measurement.,,,,,,,,,
NHIC_ICU_13,Physiology, cardiac,Lactate,Lactate measurement. Recorded 1:1.,,,,,,,,,
NHIC_ICU_14,Physiology, cardiac,Lactate - time and date of measurement.,Time and date of Lactate measurement.,,,,,,,,,
NHIC_ICU_15,Physiology, cardiac,Central venous saturation,Central venous saturation measurement. Recorded .,,,,,,,,,
NHIC_ICU_16,Physiology, cardiac,Central venous saturation - time and date of measurement.,Time and date of Central venous saturation measurement.,,,,,,,,,
NHIC_ICU_17,Intubated Airway,,Endotracheal tube,Endotracheal tube measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_18,Intubated Airway,,Endotracheal tube - time and date of measurement.,Time and date of Endotracheal tube measurement.,,,,,,,,,
NHIC_ICU_19,Intubated Airway,,Tracheostomy,Tracheostomy measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_20,Intubated Airway,,Tracheostomy - time and date of measurement.,Time and date of Tracheostomy measurement.,,,,,,,,,
NHIC_ICU_21,Intubated Airway,,None,None measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_22,Intubated Airway,,None - time and date of measurement.,Time and date of None measurement.,,,,,,,,,
NHIC_ICU_23,Physiology, respiratory,SpO2,SpO2 measurement. Recorded hourly.,,,,,,,,,
NHIC_ICU_24,Physiology, respiratory,SpO2 - time and date of measurement.,Time and date of SpO2 measurement.,,,,,,,,,
NHIC_ICU_25,Physiology, respiratory,PaO2,PaO2 measurement. Recorded 1:1.,,,,,,,,,
NHIC_ICU_26,Physiology, respiratory,PaO2 - time and date of measurement.,Time and date of PaO2 measurement.,,,,,,,,,
NHIC_ICU_27,Physiology, respiratory,PaCO2,PaCO2 measurement. Recorded 1:1.,,,,,,,,,
NHIC_ICU_28,Physiology, respiratory,PaCO2 - time and date of measurement.,Time and date of PaCO2 measurement.,,,,,,,,,
NHIC_ICU_29,Physiology, respiratory,pH,pH measurement. Recorded 1:1.,,,,,,,,,
