Data item No.,Section,Sub-section,Data Item Name,Data Item Description,National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_ACS_1,CORE,DEMOGRAPHICS,PERSON GENDER CODE (CURRENT),A PERSON's gender currently.,"0 : Not Known
1 : Male
2 : Female
9 : Not Specified 
",PERSON GENDER CODE CURRENT,CR0090,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_2,CORE,DEMOGRAPHICS,ETHNIC CATEGORY,ETHNIC CATEGORY is the same as attribute ETHNIC CATEGORY CODE. The 16+1 ethnic data categories defined in the 2001 census is the national mandatory standard for the collection and analysis of ethnicity.,"White
A  : White British
B  : White Irish
C  : Any other White background
Mixed
D : White and Black Caribbean
E : White and Black African
F : White and Asian
Any other mixed background
G : Asian or Asian British
H : Indian
J : Pakistani
K : Bangladeshi
L : Any other Asian background
Black or Black British
M : Caribbean
N : African
P : Any other Black background
Chinese or Other Ethnic Group
R : Chinese
S : Any other ethnic group
Z : Not stated
99 : Not known
",ETHNIC CATEGORY,CR0120,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_3,CORE,DEATH DETAILS,DEATH CAUSE IDENTIFICATION METHOD,The source of information from which the cause of death was established. ,"1 : Death certificate
2 : NHS Central Register Follow-up
3 : Hospital records
4 : Verbal communication
5 : Post mortem
",1.32.1,CR0130,4,3,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_4,CORE,ADMISSION,ADMISSION SOURCE CODE,SOURCE OF REFERRAL FOR A AND E is the source of referral for each Accident and Emergency Epidose,"0 : GENERAL MEDICAL PRACTITIONER
1 : Self Referral
2 : Local Authority Services
3 : Emergency Services
4 : Work
5 : Education Establishment
6 : Police
7 : Healthcare Provider same or other
8 : Other
92 : General Dental Practioner
93 : Community Dental Service
",,CR0140,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_5,CORE,ADMISSION,ADMISSION METHOD,ADMISSION METHOD is the method of admission to a Hospital Provider Spell,"21 : Accident and emergency or dental casualty department of the HEALTHCARE PROVIDOR
22 : GENERAL MEDICAL PRACTITIONER: after a request for immediate admission has been made direct to a HOSPITAL PROVIDER by a GENERAL PRACTITIONER or deputy
24 : Consultant clinic
2A : Accident and Emergency Department of another provider where the patient has not been admitted
2B : Transfer of a patient from another HOSPITAL PROVIDER in an emergency
2D : Other emergency admission
",,CR0140,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_6,CORE,SYMPTOMS,ANGINA TYPE,ANGINA TYPE is an indication of the PERSON's description of their pain or discomfort,"1 : Atypical chest pain: pain, pressure, or discomfort in the chest, neck, or arms not clearly exertional or not otherwise consistent with pain or discomfort of myocardial ischaemic origin
2 : Stable angina: angina without change in frequency or pattern for the 6 week period before this admission.  Angina is controlled by rest and/or sublingual /oral/transcutaenous medications
3a : Unstable Angina: The patient with hospitalised for UA documented in the medical record with serial ECGs and biochemical profiles. One of the following criteria is necessary: 1. Angina that occurred at rest and was prolonged usually lasting ³10 min 2. New-onset angina of at least CCS classification III severity 3. Recent acceleration of angina reflected by an increase in severity of at least 1 CCS class to at least class III. The patient must also have no biochemical evidence of myocardial necrosis
3b : Myocardial Infarction: A rise and/or fall of ³20% of a serum biomarker (preferably Troponin) with at least one vallue being above the 99th percentile and at least one of the following: 1. Ischaemic symptoms which may include jaw pain, arm pain, shortness of breath, nausea, vomiting, fatigue, malaise or equivalent 2. New or presumed new ST-T changes or LBBB 3. Development of pathological Q waves 4. Imaging evidence of new loss of viable myocardium or new regional wall motion abnormalities 5. Identification of intracoronary thrombus by angiography or autopsy 6. Cardiac death with symptoms suugestive of myocardial ischaemia and presumed new ischaemic electrocardiographic or new LBBB but death occured before cardiac biomarkers were obtained or before cardiac biomarker values would be increased
",,CR0180,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_7,CORE,SYMPTOMS,PRESENCE OF ONGOING SYMTPOMS,PRESENCE OF ONGOING SYMTPOMS refers to the PRESENCE of the SYMPTOMS that prompted the PERSON the PRESENT to a HEALTHCARE FACILITY at the time of PATIENT recruitment,"0 : No
1 : Yes
",4,CR0200,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_8,CORE,SYMTPOMS, MORE THAN TWO EPISODES OF ANGINA IN THE PRECEDING 24 HOURS,Indicate if the PERSON had two distinct episodes of ANGINA that occurred in the past 24 hours before DATE/TIME OF PRESENTATION TO HEALTHCARE FACILITY,"0 : No
1 : Yes
",,CR0210,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_9,CORE,SYMPTOMS,PRESENCE OF BREATHLESSESS,PRESENCE OF BREATHLESSNESS refers to any SYMPTOM of breathing difficulty that concomittant with ANGINA TYPE,"0 : No
1 : Yes
",,CR0220,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_10,CORE,SYMPTOMS,KILLIP CLASS,Indicate the PERSONS's KILLIP CLASS at the time of DATE/TIME OF PRESENTATION TO HEALTHCARE PROVIDER,"1 : Absence of rales/crackles over the lung fields and absence of S3
2 : Rales/crackles <50% of the lung fields or the presence of S3
3 : Rales/crackles >50% of lung fields
4 : Shock (>30 min episode of systolic blood pressure <90mmHg and/or cardiac index <2.2L/min per square meter determined to be secondary to cardiac dysfunction and/or the requirement for parenteral inotropic or vasopressor agents or mechanical support e.g. IABP to maintain blood pressure and cardiac index above the specified levels
",,CR0230,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
