Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_1,Lab tests,,Alanine aminotransferase (ALT),,Numeric,,,AAALT,2,1,2,1,2
NHIC_HEP_2,Lab tests,,Aspartate aminotrasferase (AST),,Numeric,,,AAAST,2,1,2,1,2
NHIC_HEP_3,Lab tests,,Alpha-fetoprotein,,Numeric,,,AFP,2,1,2,1,2
NHIC_HEP_4,Lab tests,,Albmin,,Numeric,,,ALBUMIN,2,1,2,1,2
NHIC_HEP_5,Lab tests,,Alkaline phosphatase,,Numeric,,,ALKPH,2,1,2,1,2
NHIC_HEP_6,Lab tests,,Anti-mitochondrial antibodies,,Pos/Neg,,,AMITOANTB,2,1,2,1,2
NHIC_HEP_7,Lab tests,,Anti-HBe,,Pos/Neg,,,ANTI-HBe,2,1,2,1,2
NHIC_HEP_8,Lab tests,,Anti-HCV,,Pos/Neg/Ind,,,ANTIHCV,2,1,2,1,2
NHIC_HEP_9,Lab tests,,Anti-Hepatitis B core,,Pos/Neg,,,ANTIHEPBC,2,1,2,1,2
NHIC_HEP_10,Lab tests,,Anti-HIV,,Pos/Neg,,,ANTIHIV,2,1,2,1,2
NHIC_HEP_11,Lab tests,,Anti-nuclear antibodies,,Pos/Neg,,,ANUCLRAB,2,1,2,1,2
NHIC_HEP_12,Lab tests,,Anti-parietal cell antibodies,,Pos/Neg,,,APCELANTB,2,1,2,1,2
NHIC_HEP_13,Lab tests,,Anti-smooth muscle antibodies,,Pos/Neg,,,ASMAB,2,1,2,1,2
NHIC_HEP_14,Lab tests,,Anti-thyroid peroxidase antibodies,,Pos/Neg,,,ATHYRAB,2,1,2,1,2
NHIC_HEP_15,Lab tests,,Bilirubin (total),,Numeric,,,BILIRUBIN,2,1,2,1,2
