Data item No.,Section,Sub-section,Data Item Name,Data Item Description,National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? ",F. what  are the circumstances of data collection?  where and when is the data recorded?  who is responsible for data entry?,"G. is there a particular form (or data standard, or proforma) used for the collection of the data?   If so, please supply a copy or reference. ","H. if the data is stored in a local database or data warehouse, what is the name and version of the database application?"
NHIC_TRA_1,RECIPIENT DEMOGRAPHICS,,Forename,The forename of an IDENTIFIED INDIVIDUAL,,,,2,2,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_2,RECIPIENT DEMOGRAPHICS,,Middlename/s,Any middle names of an IDENTIFIED INDIVIDUAL,,,,2,2,4,4,3,Middle names only available as initials on repository.,HIS registration screen,"SDSQL1 repository, not in TXVM database."
NHIC_TRA_3,RECIPIENT DEMOGRAPHICS,,Surname,Surname or family name of an IDENTIFIED INDIVIDUAL,,,,2,2,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_4,RECIPIENT DEMOGRAPHICS,,Maiden name,The surname of an IDENTIFIED INDIVIDUAL at birth,,,,2,2,1,3,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_5,RECIPIENT DEMOGRAPHICS,,Alias/es,Any alternate names an IDENTIFIED INDIVIDUAL may be known by,,,,2,4,1,1,3,"Recorded on Trust HIS system, but no evidence of transfer to repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,on raw HIS system only.
NHIC_TRA_6,RECIPIENT DEMOGRAPHICS,,Date of birth,The date of birth of an IDENTIFIED INDIVIDUAL,,,,1,1,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_7,RECIPIENT DEMOGRAPHICS,,NHS Number,Unique identifier of an IDENTIFIED INDIVIDUAL in the NHS in England and Wales,,,,1,1,3,1,3,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_8,RECIPIENT DEMOGRAPHICS,,Postcode,Postcode of the current home address of an IDENTIFIED INDIVIDUAL,,,,1,1,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_9,RECIPIENT DEMOGRAPHICS,,House Number/Name,House number or name at an IDENTIFIED INDIVIDUAL's current home address,,,,2,2,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_10,RECIPIENT DEMOGRAPHICS,,Address Line,Any additional address lines of an IDENTIFIED INDIVIDUAL's current home address,,,,2,2,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,SDSQL1 repository and TXVM database
NHIC_TRA_11,RECIPIENT DEMOGRAPHICS,,City,City where an IDENTIFIED INDIVIDUAL currently lives,,,,2,2,1,1,1,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,"SDSQL1 repository and TXVM database. Note, address lines do not break down to city and county."
NHIC_TRA_12,RECIPIENT DEMOGRAPHICS,,County,County where an IDENTIFIED INDIVIDUAL currently lives,,,,2,2,3,4,3,"Recorded on Trust HIS system, then transferred via repository. Data entered by all HIS users at patient registration or update.",HIS registration screen,"SDSQL1 repository and TXVM database. Note, address lines do not break down to city and county."
