Data item No.,Section,Data Item Name,Data Item Description,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? ",Comments
NHIC_TRA_1,RECIPIENT DEMOGRAPHICS,Forename,The forename of an IDENTIFIED INDIVIDUAL,2,2,1,2,3,
NHIC_TRA_2,RECIPIENT DEMOGRAPHICS,Middlename/s,Any middle names of an IDENTIFIED INDIVIDUAL,2,2,1,2,3,
NHIC_TRA_3,RECIPIENT DEMOGRAPHICS,Surname,Surname or family name of an IDENTIFIED INDIVIDUAL,2,2,1,2,3,
NHIC_TRA_4,RECIPIENT DEMOGRAPHICS,Maiden name,The surname of an IDENTIFIED INDIVIDUAL at birth,4,,,,,
NHIC_TRA_5,RECIPIENT DEMOGRAPHICS,Alias/es,Any alternate names an IDENTIFIED INDIVIDUAL may be known by,2,2,1,2,3,
NHIC_TRA_6,RECIPIENT DEMOGRAPHICS,Date of birth,The date of birth of an IDENTIFIED INDIVIDUAL,2,2,1,1,1,
NHIC_TRA_7,RECIPIENT DEMOGRAPHICS,NHS Number,Unique identifier of an IDENTIFIED INDIVIDUAL in the NHS in England and Wales,2,2,1,1,1,
NHIC_TRA_8,RECIPIENT DEMOGRAPHICS,Postcode,Postcode of the current home address of an IDENTIFIED INDIVIDUAL,2,2,1,2,1,
NHIC_TRA_9,RECIPIENT DEMOGRAPHICS,House Number/Name,House number or name at an IDENTIFIED INDIVIDUAL's current home address,2,2,1,2,1,
NHIC_TRA_10,RECIPIENT DEMOGRAPHICS,Address Line,Any additional address lines of an IDENTIFIED INDIVIDUAL's current home address,2,2,1,2,1,
NHIC_TRA_11,RECIPIENT DEMOGRAPHICS,City,City where an IDENTIFIED INDIVIDUAL currently lives,2,2,1,1,1,
NHIC_TRA_12,RECIPIENT DEMOGRAPHICS,County,County where an IDENTIFIED INDIVIDUAL currently lives,2,2,1,1,1,
NHIC_TRA_13,RECIPIENT DEMOGRAPHICS,Country,Country where an IDENTIFIED INDIVIDUAL currently lives,2,2,1,1,1,
NHIC_TRA_14,RECIPIENT DEMOGRAPHICS,Gender,Current gender of an IDENTIFIED INDIVIDUAL,2,2,1,1,1,
NHIC_TRA_15,RECIPIENT DEMOGRAPHICS,Ethnicity,Coded ethnic identity of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_16,RECIPIENT DEMOGRAPHICS,GP Surgery,The GP Surgery where an IDENTIFIED INDIVIDUAL is currently registered,2,2,1,1,2,
NHIC_TRA_17,RECIPIENT DEMOGRAPHICS,Blood Group,A/B/O blood group of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_18,RECIPIENT DEMOGRAPHICS,Blood Rhesus,An IDENTIFIED INDIVIDUAL's rhesus blood group,1,1,1,1,1,
NHIC_TRA_19,RECIPIENT DEMOGRAPHICS,NHSBT/ODT Number,"An IDENTIFIED INDIVIDUAL's ODT identifier, used to link with NHSBT database records",4,1,1,1,2,Recipient ODT no collected by Tissue typing not LD team.Exception ODT provide recipient ID when matched pn Pired exchange
NHIC_TRA_20,RECIPIENT DEMOGRAPHICS,Additional NHSBT/ODT Number/s,"Any additional ODT identifiers which may have been used for an IDENTIFIED INDIVIDUAL. Usually there is only one, but occasionally there may be two or more.",4,,,,,
NHIC_TRA_21,RECIPIENT DEMOGRAPHICS,Date of death,Date of death of an IDENTIFIED INDIVIDUAL,1,1,1,4,3,missing data because reliance on external sources for correct and timely info
NHIC_TRA_22,LIVING DONOR DEMOGRAPHICS,Forename,The forename of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_23,LIVING DONOR DEMOGRAPHICS,Middlename/s,Any middle names of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
